iter	Passed	Remaining
396	663	1008
397	665	1006
398	679	1022
399	680	1021
400	683	1020
401	689	1025
402	691	1023
403	696	1028
404	706	1038
405	708	1036
406	711	1036
407	713	1034
408	718	1037
409	719	1035
410	722	1035
411	723	1033
412	726	1032
413	731	1034
414	732	1032
415	743	1043
416	744	1040
417	766	1067
418	768	1065
419	775	1071
420	778	1070
421	781	1070
422	784	1069
423	787	1070
424	789	1067
425	791	1066
426	792	1063
427	793	1060
428	794	1057
429	805	1067
430	806	1065
431	808	1062
432	810	1060
433	811	1058
434	812	1055
435	813	1052
436	822	1060
437	825	1058
438	826	1055
439	827	1053
440	828	1050
441	836	1056
442	838	1053
443	839	1051
444	841	1048
445	842	1046
446	843	1043
447	851	1048
448	853	1047
449	855	1045
450	868	1057
451	870	1054
452	871	1052
453	872	1049
454	874	1047
455	876	1045
